Model,Scenario,Region_Category,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BRN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,26.0859,27.1666,31.5082,34.8501,36.9571,39.444,41.253,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,BWA,GDP|PPP|Counterfactual without damage,billion US$2010/yr,32.1599,42.5993,51.341,60.7375,69.3244,78.4296,88.2549,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CAN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,1558.7425,1703.3013,1877.1498,2091.6935,2317.8924,2576.427,2849.306,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CHE,GDP|PPP|Counterfactual without damage,billion US$2010/yr,525.7062,573.0691,602.6768,631.4938,659.9603,691.8649,726.9624,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CHL,GDP|PPP|Counterfactual without damage,billion US$2010/yr,416.184,487.1223,523.6541,572.5503,625.6652,693.9667,763.2888,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CHN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,21786.8007,28409.8229,33770.865,38628.8916,42656.8122,46751.3877,50469.6484,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CIV,GDP|PPP|Counterfactual without damage,billion US$2010/yr,125.8947,170.5091,229.137,304.7734,385.5847,480.2467,591.2848,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CMR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,89.8004,107.6155,134.7496,173.3755,219.425,278.3225,352.2397,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,COD,GDP|PPP|Counterfactual without damage,billion US$2010/yr,92.0338,123.4252,158.6382,208.5656,280.3167,383.2563,524.2437,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,COG,GDP|PPP|Counterfactual without damage,billion US$2010/yr,19.712,22.3918,26.857,32.2781,38.5221,46.5508,56.7263,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,COL,GDP|PPP|Counterfactual without damage,billion US$2010/yr,634.0725,764.6945,879.4423,1023.2864,1200.8464,1426.4219,1657.9983,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CRI,GDP|PPP|Counterfactual without damage,billion US$2010/yr,91.7285,107.7685,123.6083,144.0713,165.9159,191.3547,215.9508,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CUB,GDP|PPP|Counterfactual without damage,billion US$2010/yr,68.3059,75.4169,93.8163,117.1529,149.4133,191.8347,239.7532,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CYP,GDP|PPP|Counterfactual without damage,billion US$2010/yr,32.9871,39.2973,45.2299,51.2569,56.9347,62.7668,68.6536,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,CZE,GDP|PPP|Counterfactual without damage,billion US$2010/yr,362.9791,388.8807,420.9941,451.5382,479.622,508.0084,535.2651,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,DEU,GDP|PPP|Counterfactual without damage,billion US$2010/yr,3862.3363,3948.9348,4149.8384,4369.0811,4610.8568,4884.8216,5150.4283,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,DNK,GDP|PPP|Counterfactual without damage,billion US$2010/yr,288.6934,315.0617,336.236,357.5626,378.302,402.3437,427.8404,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,DOM,GDP|PPP|Counterfactual without damage,billion US$2010/yr,181.7711,225.1783,286.8769,350.1821,410.2033,476.3887,541.8702,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,DZA,GDP|PPP|Counterfactual without damage,billion US$2010/yr,451.0537,518.1564,561.0846,608.3657,644.4906,717.7172,816.7261,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ECU,GDP|PPP|Counterfactual without damage,billion US$2010/yr,184.7441,204.7025,233.4354,265.7457,302.2746,349.406,401.8056,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,EGY,GDP|PPP|Counterfactual without damage,billion US$2010/yr,1253.4554,1534.1412,2012.1956,2576.1774,3171.3502,3993.1679,4991.5069,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ERI,GDP|PPP|Counterfactual without damage,billion US$2010/yr,5.5992,6.5561,7.7296,9.6887,12.5005,16.5096,21.819,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ESP,GDP|PPP|Counterfactual without damage,billion US$2010/yr,1540.2306,1755.4443,1876.5748,2044.1651,2230.6683,2436.1598,2648.4782,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,EST,GDP|PPP|Counterfactual without damage,billion US$2010/yr,41.8657,43.9339,51.8949,57.0612,60.6083,63.1425,65.0824,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ETH,GDP|PPP|Counterfactual without damage,billion US$2010/yr,244.8791,338.2382,467.905,638.8855,845.4594,1114.3818,1456.3719,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,EU27,GDP|PPP|Counterfactual without damage,billion US$2010/yr,16889.9194,18448.1792,20014.1544,21515.7541,22947.4282,24422.9903,25871.8586,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,FIN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,238.5488,245.4462,263.4849,278.9781,293.9166,310.2516,327.2496,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,FRA,GDP|PPP|Counterfactual without damage,billion US$2010/yr,2603.4042,2791.4255,3010.5194,3212.3358,3406.6174,3617.2526,3837.3783,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,GAB,GDP|PPP|Counterfactual without damage,billion US$2010/yr,29.3919,32.695,37.7268,45.0474,52.3746,60.5638,69.6631,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,GBR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,2583.7095,2867.8608,3118.6335,3408.8246,3739.4649,4128.7669,4545.5099,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,GEO,GDP|PPP|Counterfactual without damage,billion US$2010/yr,50.1979,70.0438,87.4155,102.8277,119.262,131.3186,139.8624,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,GHA,GDP|PPP|Counterfactual without damage,billion US$2010/yr,156.1876,181.0289,229.866,290.4355,358.0951,441.1762,542.1819,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,GRC,GDP|PPP|Counterfactual without damage,billion US$2010/yr,264.9642,311.0751,343.6615,370.8243,399.8218,429.9223,459.1717,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,GTM,GDP|PPP|Counterfactual without damage,billion US$2010/yr,139.3742,160.6544,193.8091,232.1998,277.4461,335.4612,400.3824,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,HKG,GDP|PPP|Counterfactual without damage,billion US$2010/yr,387.382,447.5125,499.1264,531.6192,545.1225,549.0234,544.2097,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,HND,GDP|PPP|Counterfactual without damage,billion US$2010/yr,50.1554,59.6232,71.8232,86.8786,105.9288,131.8191,163.4596,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,HRV,GDP|PPP|Counterfactual without damage,billion US$2010/yr,95.2665,113.6844,128.6086,138.3828,144.9097,149.9412,154.1131,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,HTI,GDP|PPP|Counterfactual without damage,billion US$2010/yr,32.9727,29.8292,33.2924,41.1027,51.4534,66.0865,84.9366,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,HUN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,277.6618,317.9364,360.9773,396.6453,423.6284,446.5505,466.475,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,IDN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,3031.1162,3885.7436,4811.5882,5662.5192,6531.6578,7611.5027,8645.5784,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,IND,GDP|PPP|Counterfactual without damage,billion US$2010/yr,8877.544,12675.8195,16904.96,20373.4397,24391.5199,30002.8332,35133.2716,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,IRL,GDP|PPP|Counterfactual without damage,billion US$2010/yr,429.1137,539.5083,607.8479,674.9198,753.63,853.5183,965.0723,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,IRN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,1208.674,1332.1181,1456.7025,1572.9832,1623.4625,1732.2878,1857.1407,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,IRQ,GDP|PPP|Counterfactual without damage,billion US$2010/yr,377.3963,402.4898,460.863,578.4617,801.4801,1106.7381,1459.5128,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ISL,GDP|PPP|Counterfactual without damage,billion US$2010/yr,16.5151,19.7927,22.5129,25.1404,27.8544,30.6306,33.3212,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ISR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,334.1298,397.3143,467.7085,529.4542,581.0934,658.7343,742.7136,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,ITA,GDP|PPP|Counterfactual without damage,billion US$2010/yr,2056.0008,2267.931,2379.1838,2525.8183,2667.094,2820.5162,2970.7994,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,JAM,GDP|PPP|Counterfactual without damage,billion US$2010/yr,25.5927,27.493,29.5909,31.939,35.055,39.571,44.8234,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,JOR,GDP|PPP|Counterfactual without damage,billion US$2010/yr,96.2969,103.1704,117.9115,133.7321,150.6223,178.3986,213.6889,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,JPN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,4859.8796,5030.8677,5211.6544,5395.3561,5524.7145,5734.7858,6027.2528,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,KAZ,GDP|PPP|Counterfactual without damage,billion US$2010/yr,458.7779,550.7996,605.7374,654.243,734.4115,806.6155,873.4792,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,KEN,GDP|PPP|Counterfactual without damage,billion US$2010/yr,213.7574,285.9278,367.7483,465.3672,575.544,712.1611,878.1156,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,KGZ,GDP|PPP|Counterfactual without damage,billion US$2010/yr,30.3458,37.3726,43.5817,49.9748,60.0686,71.3465,84.2548,,,,,,
Downscaling[GCAM 6.0 NGFS],Below 2?C,All Countries,KHM,GDP|PPP|Counterfactual without damage,billion US$2010/yr,67.2169,88.5452,119.9292,157.4214,201.5013,261.5918,332.7039,,,,,,
